Name	BM3449_no_treat_less18m	BM3453_no_treat_less18m	BM3454_no_treat_less18m	BM3459_no_treat_less18m	BM3462_no_treat_less18m	BM3452_no_treat_more24m	BM3455_no_treat_more24m	BM3456_no_treat_more24m	BM3457_no_treat_more24m	BM3458_no_treat_more24m	BM3460_no_treat_more24m	BM3463_no_treat_more24m
A0A075B6P5	1.975215561	2.71438523	1.273764968	1.047526948	2.816483062	2.270313979	2.915093761	3.03645415	2.120341075	3.121884877	NA	NA
A0A0A0MRZ8	2.132465149	2.221017798	1.791876896	3.26312004	2.125403816	2.123817229	2.288633321	2.298642213	1.420039821	1.488697084	1.536886023	NA
A0A0A0MS15	0.914960419	-0.546135355	0.374440222	-0.026077308	-1.06852575	0.015762312	-0.183590874	NA	-1.80663208	NA	-0.316114478	-0.891291063
A0A0B4J1X5	3.392019076	2.529071307	1.275987705	1.243864156	1.606683934	2.63976376	2.635988354	2.143996793	2.084247832	0.837234788	NA	3.525657257
A0A0B4J1Y9	3.95238173	2.8635477	2.909137793	2.935937032	2.217951229	2.719282245	2.866255326	3.114303276	2.376964118	1.644577975	3.044795909	2.438778414
A0A0C4DH68	1.000697573	0.986335826	0.134308433	NA	0.4675387	NA	0.609491325	0.53773532	0.78766435	-0.478255751	-0.509663639	0.265911819
A0AVT1	0.12416231	NA	NA	-0.301729769	-0.796290728	NA	-1.147997649	NA	-0.3872249	NA	0.303236675	-0.855809011
A0FGR8	0.171718916	0.23509614	0.213057241	-0.051128989	NA	NA	0.000978099	NA	0.194976577	-0.30095003	0.563953462	0.631848255
A1X283	NA	-0.820323359	-2.896410306	NA	0.412415114	-0.365362109	-0.615081864	-1.958864661	-0.769660749	-0.524312375	NA	NA
A8MWD9	NA	1.443171077	NA	0.844370321	1.097694201	0.910060626	0.740204013	1.284706289	0.840161	1.305419163	0.936341427	NA
A8MXV4	-2.299831976	-2.753290336	-3.143788815	-1.642764293	NA	-3.078799187	NA	-3.349428968	NA	NA	NA	-1.083810563
O00115	-2.260639063	-0.705040154	-3.03027983	NA	-1.795857457	0.524858551	-1.582706385	-2.33086557	-2.464496541	-2.479141423	-1.97374383	-1.935451069
O00116	NA	-1.412350589	-1.668219155	NA	-1.488229817	NA	-1.668723898	NA	-1.262536426	-2.267391048	NA	NA
O00142	2.854252046	3.267556828	4.799797091	2.618829287	3.140281358	2.549592038	4.667872801	4.463743209	2.75705533	2.930007876	3.356595004	1.930432705
O00151	0.683215233	0.297837936	0.784489623	-0.035607726	0.959782149	0.312896177	1.140146818	0.25926574	1.129092294	1.674619197	0.65638218	0.657607282
O00159	-0.07974225	-0.920429662	-0.470577147	-0.641356642	-0.593497032	-1.215089721	-0.480597034	-0.208212118	-0.354092105	-0.275825749	-0.116905394	-0.857794692
O00160	-0.45855621	-0.62491805	-0.075846898	-1.007498071	-0.137669652	0.451330297	-0.543615927	-0.311320294	-0.054811832	0.148237664	-0.839432435	-0.547511803
O00161	0.939814846	0.340372004	-0.203228086	-0.032234863	0.295730015	0.680356733	0.071361279	0.265082725	0.851030258	0.097418721	0.238305005	2.141205724
O00170	1.115114697	1.263742899	-0.00917986	-0.072668621	0.972817291	0.236250754	0.357322471	-0.34018043	0.61008584	0.444630574	0.204145835	1.897503025
O00182	-1.538050003	-0.812772516	-0.707579741	0.205432922	-0.955432642	0.410455671	-0.760751498	-1.030553978	-0.842337802	-1.170641394	0.691193779	-1.415338111
O00203	-0.776068782	-0.889834899	-0.847616415	-0.887178915	NA	-0.117940521	-0.805560319	-0.645791021	-0.333443052	-0.815416281	-0.485768147	-0.710577557
O00232	-1.75077282	-1.91689007	NA	0.028103302	-2.070248995	-0.823545792	-1.451276058	-1.438408286	-1.654311575	-0.842365233	-1.249430866	-1.901859343
O00233	-0.144362266	-0.384419235	-0.258096811	-0.510903776	-0.434299746	-2.602704084	-1.231160738	-1.665298404	NA	-0.651741491	0.142853432	NA
O00264	0.874021329	1.580848531	0.12045284	0.688891891	1.336613758	1.078385922	1.356643207	0.899311884	1.216001679	1.592131667	0.574899871	1.214901174
O00299	2.103759544	0.760451929	0.898397252	1.518869654	0.709060511	0.213476919	0.07310306	-0.143623523	0.744113043	-0.088455425	1.305020301	1.543463757
O00303	-1.596411715	-1.027695595	-1.090243931	-0.775022271	NA	NA	-2.451553895	-2.488403875	-1.934500845	-1.509726766	-1.255434044	-1.950180543
O00391	-0.978948892	-0.248739166	-1.840072552	-1.113885002	-0.743480782	-1.389246132	-1.873906169	-0.109000926	-1.636826418	NA	-1.8377607	-2.641257781
O00410	-1.008615462	-1.556083989	NA	-1.792635473	NA	-1.184891755	NA	NA	NA	NA	-1.087404675	-0.57764298
O00429	-0.441665336	-2.452154506	-0.845440549	-1.785045935	-2.418201849	-1.10235994	-2.153594027	-1.308680886	-0.387470674	-1.535696534	-0.234768513	-0.43770329
O00442	-0.973279558	-0.606373101	-0.936058607	-2.461291435	NA	NA	NA	NA	NA	-1.159532364	-1.492985347	-0.663824085
O00468	-1.009662271	-0.429493914	-0.146321122	-0.244320193	-0.100393545	-2.451991202	-0.435048108	-1.139191788	-1.231626262	-2.045488287	-1.083545781	-3.339689751
O00479	-0.75066651	-0.474249966	-2.621949253	-0.994765565	0.575456705	-1.391898	-1.096834891	-1.252986505	-0.876115664	1.116672917	-0.669283778	-1.050128867
O00487	-0.967296741	-1.294393907	-0.622515	0.348374499	-1.052711119	-0.372982093	-1.243619362	0.383812403	-0.291393566	-1.197841397	-0.824157033	-1.246046183
O00515	1.224037071	1.776290422	-0.344641752	-0.352520373	-0.522254764	1.073449206	1.055828357	-1.051440325	0.072138511	NA	NA	1.892424776
O00534	0.00049005	-0.264034506	-0.219915684	-0.370864201	0.394246238	-0.357444508	0.441524534	-0.337618686	0.386436497	0.666130454	0.171774385	-0.186780169
O00555	2.221932728	2.30508996	3.649455842	1.500582574	2.802613634	3.008390335	3.232625833	4.165793089	2.211604984	1.899610463	1.514202307	2.664458233
O00567	-1.100838402	-0.986107446	-0.915450395	-0.291645262	-1.17939866	-0.941179491	NA	-1.311878051	-0.935799609	-0.27777608	-0.458084066	-0.780963444
O00571	0.319151779	0.475968411	0.30404912	0.85951906	0.234485389	0.12796957	0.144985226	-0.909182452	0.563683485	0.046361196	0.186095619	1.085831521
O00754	-3.625602351	-1.158485669	-1.800738651	-1.882652002	NA	-1.806152843	-3.004401494	-3.137454695	-1.291365055	-1.913310333	-2.122000193	-2.50342392
O00764	-1.772820126	-1.594747721	-1.85215287	-1.233023031	-2.10502772	-0.89505882	-1.041480456	-2.559858596	-1.886203532	-2.381596781	-2.050546332	0.08583036
O14498	0.350217847	-0.882490243	-0.686383955	-1.447988079	NA	-2.529790944	-0.821111969	-1.38039532	-1.931865571	-2.077829893	-1.321482716	-0.277239032
O14558	1.568628205	0.884295166	2.107329495	-0.101506101	2.278145817	0.659509425	2.051757785	3.024769169	2.961049529	3.120655346	3.914643291	1.218483321
O14579	-0.211029685	0.368009821	-0.649418391	-0.347278218	0.255466212	-0.384174593	-0.224755337	-0.988965012	-0.446784647	-0.027763916	-0.82297849	-1.124923832
O14737	-1.734829584	-0.654688002	-1.296235449	-1.075719889	-0.715828942	-1.131739174	-1.833317836	-1.842309698	-1.712695801	-2.015263469	-0.434073427	-0.352504386
O14744	-0.764933963	0.002939546	0.478184486	0.088880757	-0.15144687	0.043587642	0.292781536	0.666925579	0.356666365	0.265096807	0.137349347	0.812159046
O14745	0.660294824	-0.175876766	-0.233069263	0.198799644	-0.451999562	0.50531479	-1.314790535	-0.058608552	1.257283946	0.239326218	0.258012941	1.207348841
O14773	0.096187709	0.261895903	0.258348797	0.591502027	-0.054671496	1.319052811	-0.11790112	-0.340560363	-0.299468711	0.5498762	0.355759684	-0.228588785
O14818	-1.000737705	-0.230025091	-1.053835947	-0.988510971	-0.290194244	-0.201742948	-1.183133017	-1.635780182	-1.36956318	-0.308627151	-1.004748865	-1.323052806
O14828	1.159760938	0.822267239	NA	0.122617666	0.328064469	1.031843374	-0.112324332	NA	-0.268774192	0.001106818	NA	0.976402759
O14936	-0.243344271	NA	-1.32886452	-0.812287246	NA	NA	-0.884659482	NA	NA	NA	-0.363141151	0.416799238
O14949	-0.526213625	1.536169938	-0.133697901	NA	0.681073285	1.262088739	0.926032338	0.334704868	0.88553457	1.407250747	0.048483682	0.269981771
O14974	-0.77169722	-2.00138021	-1.505512029	-1.942870691	-0.961689751	-1.41152843	0.497334594	-1.518225414	-0.713804948	-0.29664804	-0.348821663	-1.28349444
O14979	-2.934900602	-0.771819686	-2.405532845	-1.384729864	-2.766031085	-2.676916364	-1.646513268	-2.557302232	-2.271159023	-0.956327593	-1.601095053	-1.191263946
O14980	-0.219071816	-1.57009277	-2.314738378	-2.770436445	-1.466462299	-2.501871334	-0.755181211	-1.804029388	-1.314560421	-1.968996296	-0.494376427	-1.871291631
O15061	-0.944466653	-2.984653574	-2.690734594	-3.593896951	-3.918573435	-2.989718653	-3.261122211	-3.296914446	-0.424811038	1.020865728	1.458034383	-1.590477779
O15075	-2.495364811	-3.483633116	NA	-2.203927201	NA	NA	NA	-2.640575984	-2.020797148	NA	-1.985441275	NA
O15127	1.081387477	1.447449501	0.187483362	0.736454964	1.408366391	1.472538525	1.300522001	0.951763528	1.061733048	1.189645348	0.907264891	0.958034278
O15143	0.860828447	1.745390494	1.268888514	1.485538944	1.580610124	2.149495561	1.631284872	1.379346221	1.502670827	2.125551605	1.215975552	0.110666081
O15144	0.129087492	0.638212333	1.434863502	0.637678018	0.400318374	0.496015339	0.722006052	0.973386095	0.367265908	0.823677513	1.137306779	-0.892967794
O15145	0.815889056	1.327299464	0.096996984	0.632099453	1.950462313	2.34923608	1.617715988	0.912022318	0.383891719	1.308216088	-0.495749588	-0.742668288
O15173	1.213290313	1.2896288	1.132938485	0.994444932	1.463569728	0.858575631	1.267646353	1.17852262	1.15277551	0.958723484	0.846199937	0.279342057
O15212	-0.736697001	NA	-0.851888597	-0.405105562	NA	-0.515564072	-0.458755574	NA	-0.673198042	-0.555735719	-0.592597795	-0.261086325
O15230	-0.334465736	-1.385232062	0.953436325	-0.920263537	-0.774910458	-1.412963324	-1.919684731	0.711818865	0.85128106	-1.121301764	0.419241398	-1.081462209
O15258	-0.18230622	0.829994934	0.046761065	-0.07976668	0.378227337	0.207447311	-0.465385236	NA	0.683005225	-0.136369264	-0.247207412	NA
O15260	-2.245945968	0.189234699	-0.547964981	-1.292129822	-1.475017391	-1.210221797	-0.889290407	0.356138023	-2.256652238	-2.057566042	-0.62049266	-1.822038241
O15355	NA	-0.334073352	NA	0.402035598	0.252133921	-0.098059786	NA	-0.553571376	-0.457330298	-0.65441553	-0.809354175	-0.293375202
O15371	NA	-0.368607589	NA	-0.260896564	-0.644459158	NA	NA	NA	NA	-0.854700184	-0.457321922	-0.304968241
O15372	NA	0.088956206	-0.500066455	-0.243286377	0.366262312	-0.50611443	NA	NA	-0.728445692	-0.025175368	-0.351561462	-0.119304204
O15400	0.941900246	0.666583472	1.030530702	0.591782184	1.148066703	1.506862396	1.432646276	1.109928343	1.326593407	1.258460867	0.506243701	1.030871586
O15460	0.561755475	-1.603082829	-0.657133927	-0.175285751	-1.470478182	-0.881016291	-0.295799597	NA	-1.340766998	-1.199796432	NA	-0.778380484
O15484	1.384386724	0.935194573	-0.847896015	NA	NA	-0.949778752	-0.463572515	0.107081647	-1.31019467	-0.702206421	-0.88070355	0.784020795
O15511	0.895231783	-0.491390188	0.724962193	1.299880724	1.243540323	1.781694391	NA	0.925980974	1.341800625	1.385279487	0.829211552	0.876544293
O43143	-0.565200186	-0.710404667	0.048018711	0.126900851	-0.886862531	-0.79834098	-0.842042775	0.08790877	0.060829185	-0.470042491	0.31794007	-0.507883059
O43169	-2.180114749	-1.15535178	-0.063297505	-1.714201096	-2.809818139	-3.169450757	-1.57444305	-2.526234541	-0.877665022	-1.845082814	-1.880549262	-1.695765051
O43175	0.291265698	-2.066787883	1.089021617	-0.166791382	-0.59927242	-1.039744663	NA	-1.296283002	0.430827354	-0.906609494	-0.238424118	2.567697504
O43237	0.537615201	0.386682328	NA	-0.898477322	1.282894503	NA	NA	NA	0.037497584	0.015478531	NA	1.539892953
O43242	-0.930759597	-1.838012212	-0.433666354	0.397262409	-0.836740628	-1.173355092	-0.809988939	-1.032769336	-1.316868956	-0.905467084	-0.567821864	-0.620475572
O43294	0.022904007	-2.517254486	-0.312127904	-1.518337308	0.090588674	NA	-0.15046093	-2.19569708	-1.856990497	0.137794096	0.25582508	-0.73478038
O43390	-0.05946625	-0.177448152	1.023798957	0.544313142	1.075488222	1.015314121	1.132094649	0.7867971	1.089704599	0.505228989	0.603094431	-0.357316818
O43396	0.137950924	-1.168855563	0.177226494	0.117812418	0.233405025	-0.284656744	-0.423908049	0.183199905	-0.379181576	0.006789167	0.021395697	-0.385949109
O43399	1.04037626	-0.904775377	-2.000686755	0.73627433	-1.227086733	-0.398589076	-0.892033657	-0.901093246	-1.409354847	-0.700589055	0.360368821	0.572310367
